Moderation Judgement	Targeted Statement	Context Paragraph	Biographical Subject	Biographical Summary	Edit Date	Editor username	Annotator n°1 judgement	Annotator n°2 judgement	Annotator n°3 judgement	Annotator n°4 judgement	Annotator n°5 judgement	Annotator's Majority Vote	Neutral Vote Ratio	Non-neutral Vote Ratio	ELB	POV	PDEI
non-neutral	Il perd son mandat de député lors des élections législatives de 2017, obtenant au second tour 47,43 % des voix contre son adversaire de droite.  Il était, selon la magazine Capital et le collectif Regards citoyens, le 39ème meilleur député (sur 577) de l’Assemblée nationale pour son assiduité et son travail parlementaire.	Il perd son mandat de député lors des élections législatives de 2017, obtenant au second tour 47,43 % des voix contre son adversaire de droite.	Nicolas Sansu	Nicolas Sansu, né le 17 juin 1968 à Vierzon, est un homme politique français. Membre du Parti communiste français, il est député du Cher de 2012 à 2017 et maire de Vierzon de 2008 à 2022. Il est de nouveau élu député en juin 2022 et réélu en juillet 2024.	2017-06-19	80.12.38.242	neutral	non-neutral	non-neutral	non-neutral	neutral	non-neutral	2	3	0	1	0
neutral	Manuel Valls a plusieurs fois défendu la légalisation des statistiques ethniques. En décembre 2009, en tant que député d’opposition, il soutient cette idée à l’issue d’un colloque sur la diversité et annonce qu’il présentera « un projet de loi en ce sens à l'Assemblée nationale », promesse qu’il ne met pas à exécution.	Manuel Valls a plusieurs fois défendu la légalisation des statistiques ethniques. En décembre 2009, en tant que député d’opposition, il soutient cette idée à l’issue d’un colloque sur la diversité et annonce qu’il présentera « un projet de loi en ce sens à l'Assemblée nationale », promesse qu’il ne met pas à exécution. En décembre 2012, il se déclare de nouveau ouvert aux statistiques ethniques en tant que ministre de l’Intérieur, ajoutant qu’elles devraient être mises en place « selon des règles » fixées par le Conseil constitutionnel. En mars 2015, en tant que Premier ministre, il exprime le souhait « d'avoir davantage d'outils qui nous permettent de mieux lutter contre les discriminations », en l’occurrence contre celles faites aux femmes, en précisant que la lutte contre celles-ci a progressé grâce à « des statistiques précises sur la question des sexes ».	Manuel Valls	"Manuel Valls, né le 13 août 1962 à Barcelone (Espagne), est un homme d'État français, possédant également la nationalité espagnole. Il est ministre d'État, ministre des Outre-mer du 23 décembre 2024 au 12 octobre 2025.

Originaire de Barcelone, il déménage en France à la fin des années 70 et adhère au Parti socialiste en 1980 dans la tendance rocardienne du parti, opposée à François Mitterrand. Conseiller de Michel Rocard, il intègre le cabinet du leader de la deuxième gauche lors de la nomination de ce dernier à Matignon en 1988 et gravit progressivement les échelons jusqu'à intégrer la direction du parti lorsque Michel Rocard devient Premier secrétaire en 1993.

Électoralement, il est élu conseiller régional d'Île-de-France en 1986 et intègre l'exécutif francilien en tant que Premier vice-président lorsque la gauche menée par Jean-Paul Huchon remporte la région en 1998. Après une tentative de s’implanter dans le Val d'Oise lors des élections législatives de 1997, il devient l'un des barons socialistes de l'Essonne, devenant le maire d’Évry de 2001 à 2012, puis député du département de 2002 à 2018.

Candidat arrivé avant dernier à la primaire citoyenne de 2011, il apporte son soutien à François Hollande. Une fois François Hollande élu, il est nommé ministre de l’Intérieur dans les gouvernements Jean-Marc Ayrault, de 2012 à 2014, avant de devenir Premier ministre après l'échec de la gauche aux élections municipales de 2014.

Symbole du tournant social-libéral du quinquennat, son gouvernement doit utiliser l'article 49.3, en raison des frondeurs socialistes hostiles à sa politique, pour faire adopter les lois Macron et El Khomri, provoquant un mouvement social de plusieurs mois. Il est également confronté lors de son passage à Matignon aux attentats islamistes frappant la France en 2015.

Il démissionne à la fin de l’année 2016 de ses fonctions de Premier ministre pour se présenter à la primaire citoyenne de 2017, qu'il perd au second tour face à Benoît Hamon. Lors de l’élection présidentielle qui suit, il refuse de soutenir Benoît Hamon comme il s'y était engagé et annonce soutenir son ancien ministre de l'Économie Emmanuel Macron. Réélu député, il quitte ensuite le Parti socialiste et siège en tant qu'apparenté au groupe La République en marche à l’Assemblée nationale.

Il annonce en 2018 son retrait de la vie politique française pour être candidat aux élections municipales de 2019 à Barcelone, sa ville natale : sa liste arrive en quatrième position et il est élu conseiller municipal. Hostile aux indépendantistes catalans, il vote en faveur de Ada Colau pour la fonction de maire. Il démissionne finalement de son mandat municipal en 2021.

De retour en France, il se présente sans succès aux élections législatives de 2022 des représentants des Français établis hors de France pour la coalition de la majorité présidentielle Ensemble. Après deux ans sans fonction politique, il est nommé ministre d'État, ministre des Outre-mer en 2024 dans le gouvernement Bayrou, puis en 2025 dans le gouvernement Lecornu I."	2015-05-07	Erik Bovin	non-neutral	neutral	neutral	non-neutral	neutral	neutral	3	2	Null	Null	Null
neutral	"Il se présente également comme le plus jeune député battu en 1997, à l'issue d'une triangulaire RPR-PS-FN, ce que relaie la presse. Cependant, si l'affirmation répétée de Jean-François Copé est juste sur la forme, elle est fausse sur le fond. En effet, Jean-François Copé est député suppléant de la 5e circonscription ; or, un député suppléant sortant n'a pas le droit de se présenter contre son député titulaire sortant et qui se représente, ce qui est le cas de Guy Drut en 1997. Jean-François Copé se présente alors dans la 6e circonscription voisine, qui s'avère plus difficile et où il échoue face à la socialiste Nicole Bricq qui s'y présente aussi pour la première fois : Jean-François Copé n'est donc pas battu mais rate son parachutage. "	"Il se présente également comme le plus jeune député battu en 1997, à l'issue d'une triangulaire RPR-PS-FN, ce que relaie la presse. Cependant, si l'affirmation répétée de Jean-François Copé est juste sur la forme, elle est fausse sur le fond. En effet, Jean-François Copé est député suppléant de la 5e circonscription ; or, un député suppléant sortant n'a pas le droit de se présenter contre son député titulaire sortant et qui se représente, ce qui est le cas de Guy Drut en 1997. Jean-François Copé se présente alors dans la 6e circonscription voisine, qui s'avère plus difficile et où il échoue face à la socialiste Nicole Bricq qui s'y présente aussi pour la première fois : Jean-François Copé n'est donc pas battu mais rate son parachutage. "	Jean-François Copé	"Jean-François Copé, né le 5 mai 1964 à Boulogne-Billancourt, est un haut fonctionnaire et homme politique français.

Maire de Meaux et ancien député pour la sixième circonscription de Seine-et-Marne, il exerce plusieurs fonctions ministérielles dans les gouvernements de Jean-Pierre Raffarin et de Dominique de Villepin. Il est secrétaire général de l'Union pour un mouvement populaire (UMP) entre 2010 et 2012, puis président du parti de 2012 à 2014. Il est candidat à la primaire présidentielle des Républicains de 2016, lors de laquelle il finit en dernière position."	2014-09-15	Brejnev	non-neutral	non-neutral	non-neutral	non-neutral	neutral	non-neutral	1	4	Null	Null	Null
non-neutral	Le 16 juillet 2019, il signe le permis de construire du Paris Saint-Germain Training Center sur les Terrasses de Poncy à Poissy, prévoyant la réalisation du Centre en lieu et place d'un terrain de 74 hectares actuellement occupé par des cultures céréalières et des vergers (de l’ordre de 35 hectares), ainsi que par des boisements et des friches (de l'ordre de 39 hectares). La préservation de certains espaces actuels (zone de vergers et d’anciens vergers, friche herbacée, une partie du ru de Poncy) est prévue afin d'éviter ou limiter les impacts sur le milieu naturel.	Le 16 juillet 2019, il signe le permis de construire du Paris Saint-Germain Training Center sur les Terrasses de Poncy à Poissy, prévoyant la réalisation du Centre en lieu et place d'un terrain de 74 hectares actuellement occupé par des cultures céréalières et des vergers (de l’ordre de 35 hectares), ainsi que par des boisements et des friches (de l'ordre de 39 hectares). La préservation de certains espaces actuels (zone de vergers et d’anciens vergers, friche herbacée, une partie du ru de Poncy) est prévue afin d'éviter ou limiter les impacts sur le milieu naturel.	Karl Olive	"Karl Olive, né le 29 mars 1969 à Saint-Germain-en-Laye, est journaliste sportif, producteur de télévision, entrepreneur et homme politique français.

Engagé à l'UMP, puis à LR, il soutient puis est affilié au parti présidentiel d'Emmanuel Macron à partir de 2017. Il est conseiller général puis départemental des Yvelines depuis 2011, il est maire de Poissy de 2014 à 2022, et 11e vice-président du conseil départemental des Yvelines de avril 2015 à juillet 2022. De janvier 2016 à juillet 2022, il est aussi 2e vice-président de la communauté urbaine Grand Paris Seine et Oise, délégué aux équipements et projets sportifs et culturels. Il est élu en juin 2022 et réélu, en 2024, député de la 12e circonscription des Yvelines sous bannière présidentielle, Ensemble puis Renaissance."	2020-03-09	ArmelleHeliotte	neutral	neutral	non-neutral	neutral	neutral	neutral	4	1	0	0	1
non-neutral	A partir de 2019, une possible candidature de Zemmour à l'élection présidentielle de 2022 est évoquée alors qu'aucun candidat naturel n'émerge au sein de la droite classique.	À partir de 2019, une possible candidature de Zemmour à l’élection présidentielle de 2022 est évoquée alors qu’aucun candidat naturel n’émerge au sein de la droite classique. Avec Patrick Buisson, dont il est un proche, Éric Zemmour annonce alors réfléchir à une « plateforme d’idées pour la droite ». Les médias relèvent la présence dans son entourage de la jeune énarque Sarah Knafo, qui joue les intermédiaires afin de préparer sa candidature au sein de la droite.	Éric Zemmour	"Eric Zemmour, né le 31 août 1958 à Montreuil (Seine), est un journaliste, écrivain, essayiste, éditorialiste, chroniqueur, polémiste et homme politique français d'extrême droite[a].

Diplômé de l'Institut d'études politiques de Paris, il commence une carrière dans la presse écrite en travaillant au Quotidien de Paris de 1986 à 1994. Il rejoint en 1996 le service politique du Figaro, où il reste jusqu'en 2009 et revient en 2013, tout en écrivant des chroniques au Figaro Magazine jusqu'en 2021.

Sa notoriété s'accroît grâce à la radio et la télévision : il intervient dans Ça se dispute sur I-Télé de 2003 à 2014, dans On n'est pas couché sur France 2 de 2006 à 2011, sur RTL de 2010 à 2016, Zemmour et Naulleau sur Paris Première de 2011 à 2022 et sur CNews dans Face à l'info de 2019 à 2021. En outre, ses essais rencontrent d'importants succès de librairie et suscitent des polémiques.

Fréquemment poursuivi en justice pour ses déclarations controversées, il est condamné notamment pour des provocations au racisme, à la haine envers les musulmans, incitation à la haine et injure raciste.

En novembre 2021, il annonce sa candidature à l'élection présidentielle de 2022 et fonde dans la foulée le parti politique Reconquête afin de créer une union des droites autour de thèmes identitaires et nationalistes. Il arrive en quatrième position lors du premier tour de l’élection avec 7,07 % des suffrages exprimés. Il échoue ensuite à se faire élire député dans la quatrième circonscription du Var en étant éliminé dès le premier tour, tout comme l'ensemble des candidats de son parti."	2021-12-28	Braveheidi	non-neutral	neutral	non-neutral	non-neutral	neutral	non-neutral	2	3	0	1	0
neutral	De 1993 à 1998, elle est conseillère juridique auprès du chef du service juridique et technologie de l'information. Parallèlement de 1995 à 1998, elle est commissaire du gouvernement auprès de la section du contentieux du Conseil d’État et secrétaire générale du conseil supérieur de l'Agence France-Presse (AFP).	À sa sortie de l'ENA, elle entre au Conseil d’État. Auditrice en 1992, elle est promue maître des requêtes en 1993. De 1993 à 1998, elle est conseillère juridique auprès du chef du service juridique et technologie de l'information. Parallèlement de 1995 à 1998, elle est commissaire du gouvernement auprès de la section du contentieux du Conseil d’État et secrétaire générale du conseil supérieur de l'Agence France-Presse (AFP). Elle démissionne du Conseil d’État en novembre 2015 et explique ce choix en se disant « contre le cumul et à 100 % dans les régionales ». Elle est radiée des cadres le 4 novembre. 	Valérie Pécresse	"Valérie Pécresse, née Roux le 14 juillet 1967 à Neuilly-sur-Seine (Hauts-de-Seine), est une femme politique française.

Ancienne élève de HEC et de l'ENA, elle est membre du Conseil d'État de 1992 à 2015.

Elle enseigne à l'Institut d'études politiques de Paris de 1992 à 1998 (maître de conférences en droit public).

Conseillère du président de la République Jacques Chirac de 1997 à 2002 puis députée de l'Union pour un mouvement populaire (UMP) dans la deuxième circonscription des Yvelines en 2002. Elle est réélue en 2007, mais ne siège pas en raison de son entrée au premier gouvernement François Fillon, sous la présidence de Nicolas Sarkozy.

Ministre de l'Enseignement supérieur et de la Recherche de 2007 à 2011, elle mène la réforme de l'autonomie des universités. Elle est ensuite ministre du Budget, des Comptes publics et de la Réforme de l'État et porte-parole du troisième gouvernement François Fillon de 2011 à 2012.

En décembre 2015, elle est élue présidente du conseil régional d'Île-de-France, succédant au socialiste Jean-Paul Huchon. En janvier 2016, elle abandonne son mandat de députée, qu'elle avait retrouvé en 2012.

Elle fonde le mouvement Soyons libres en 2017 et quitte le parti Les Républicains (LR) en 2019.

Réélue en 2021 à la tête de la région Île-de-France, elle adhère à nouveau à LR et devient la première femme candidate du parti à une élection présidentielle lors de celle de 2022, l'emportant au second tour d'une primaire interne face à Éric Ciotti.

À l'issue du premier tour, elle se classe à la cinquième position et obtient 4,78 % des suffrages exprimés. Elle réalise ainsi le score le plus bas de l’histoire du parti à une élection présidentielle et, ce score étant inférieur à 5 %, ne peut prétendre au remboursement par l’État de sa campagne."	2016-11-07	AntonyB	neutral	neutral	neutral	neutral	neutral	neutral	5	0	Null	Null	Null
neutral	Cette déclaration polémique est aussi l'occasion pour certains journalistes de retrouver d'anciens tweets du député eux aussi jugés racistes.	Cette déclaration polémique est aussi l'occasion pour certains journalistes de retrouver d'anciens tweets du député eux aussi jugés racistes.	Grégoire de Fournas	"Grégoire de Fournas de La Brosse, né le 19 mars 1985 à Lesparre-Médoc (Gironde), est un homme politique français.

Membre du Rassemblement national, il est conseiller départemental de la Gironde de 2015 à 2021, élu dans le canton du Nord-Médoc. Il est élu conseiller municipal d'opposition à Pauillac en 2020.

Il est élu député dans la 5e circonscription de la Gironde en 2022. En novembre 2022, il est exclu de l'Assemblée nationale pendant quinze jours de séances pour tumulte, après des propos considérés comme racistes par le bureau de l'Assemblée, décision entérinée par la majorité des députés. Lors des élections législatives de 2024, il perd son siège à l’Assemblée nationale après avoir été battu au second tour dans sa circonscription."	2022-11-04	Victoire F.	neutral	neutral	non-neutral	non-neutral	neutral	neutral	3	2	Null	Null	Null
non-neutral	Lors de son audience solennelle d'installation, il annonce avoir six priorités : faire de la Cour l'instance de référence en matière d'évaluation des politiques publiques, consolider le rôle de vigie et d'éclaireur de la Cour vis-à-vis du Parlement, du gouvernement et des citoyens, développer les capacités prospectives et comparatives de la Cour, moderniser les procédures de contrôle, accroître la dimension européenne et internationale de la Cour, faire vivre la communauté de travail de la Cour et des chambres régionales et territoriales des comptes (CRTC), tout en renforçant l'égalité femmes-hommes et la diversité du personnel.	Après la fin de ses fonctions à la Commission européenne, Pierre Moscovici revient à la Cour des comptes en tant que conseiller-maître. Il est nommé le 3 juin 2020 Premier président de la juridiction par le Président de la République. Lors de son audience solennelle d'installation, il annonce avoir six priorités : faire de la Cour l'instance de référence en matière d'évaluation des politiques publiques, consolider le rôle de vigie et d'éclaireur de la Cour vis-à-vis du Parlement, du gouvernement et des citoyens, développer les capacités prospectives et comparatives de la Cour, moderniser les procédures de contrôle, accroître la dimension européenne et internationale de la Cour, faire vivre la communauté de travail de la Cour et des chambres régionales et territoriales des comptes (CRTC), tout en renforçant l'égalité femmes-hommes et la diversité du personnel.	Pierre Moscovici	"Pierre Moscovici, né le 16 septembre 1957 à Paris 15e, est un haut fonctionnaire et homme politique français.

Membre du Parti socialiste jusqu’en 2020, il est député européen entre 1994 et 1997 puis entre 2004 et 2007, période au cours de laquelle il est vice-président du Parlement européen. Il est ministre chargé des Affaires européennes entre 1997 et 2002 dans le gouvernement Lionel Jospin. Il est élu député du Doubs en 1997, puis en 2007 et 2012. De 2008 à 2012, il préside le Pays de Montbéliard Agglomération.

Directeur de campagne du candidat socialiste François Hollande lors de la campagne présidentielle de 2012, il est nommé ministre de l'Économie, des Finances et du Commerce extérieur après la victoire de celui-ci, dans le premier gouvernement Jean-Marc Ayrault, puis ministre de l'Économie et des Finances au sein du second gouvernement Jean-Marc Ayrault. En mai 2014, après avoir quitté le gouvernement, il redevient député.

En novembre 2014, il est nommé commissaire européen aux Affaires économiques et financières, à la fiscalité et à l'union douanière au sein de la commission Juncker. Il occupe cette fonction jusqu’à la fin de la législature, en novembre 2019.

Le président Emmanuel Macron le nomme premier président de la Cour des comptes en juin 2020."	2022-10-09	Thontep	neutral	neutral	non-neutral	neutral	neutral	neutral	4	1	0	0	1
neutral	"En revanche, il sort affaibli du référendum du 29 mai 2005 où la majorité des sympathisants socialistes a voté ""non""."	"En dépit de la défaite de la gauche, il est réélu député, le 16 juin 2002, pour la XIIe législature (2002-2007). Après le retrait de Lionel Jospin, il devient véritablement le patron du Parti socialiste. En 2004, il prend position pour le « oui » à la Constitution européenne et s'oppose au numéro deux du parti, Laurent Fabius. Il organise un référendum interne au Parti Socialiste sur la question. Le 1er décembre, les militants votent « oui » à 59 % : François Hollande en sort renforcé et obtient un statut de présidentiable pour l'élection présidentielle de 2007. S'il laisse son poste de numéro deux à Laurent Fabius, il remplace plusieurs des partisans du « non » au Secrétariat national par des promoteurs du « oui », dont un certain nombre de ministres de Lionel Jospin : Martine Aubry, Dominique Strauss-Kahn, Jack Lang, etc. En revanche, il sort affaibli du référendum du 29 mai 2005 où la majorité des sympathisants socialistes a voté ""non""."	François Hollande	"François Hollande, né le 12 août 1954 à Rouen (Seine-Inférieure, aujourd'hui Seine-Maritime), est un haut fonctionnaire et homme d'État français. Il est président de la République française du 15 mai 2012 au 14 mai 2017.

Magistrat à la Cour des comptes et brièvement avocat, il est élu pour la première fois député en 1988. Il exerce la fonction de premier secrétaire du Parti socialiste (PS) de 1997 à 2008, pendant la troisième cohabitation puis dans l'opposition. Au niveau local, il est maire de Tulle de 2001 à 2008 et président du conseil général de Corrèze de 2008 à 2012.

Il est désigné candidat du PS à l'élection présidentielle de 2012 à l'issue d'une primaire à gauche face à Martine Aubry, et élu président de la République face au président sortant, Nicolas Sarkozy, avec 51,6 % des suffrages exprimés au second tour.

Sa politique économique connaît un virage social-libéral en 2014, année du « pacte de responsabilité », suivi par la loi Macron puis la loi Travail, qui provoque une contestation sociale pendant plusieurs mois. Sa présidence est également marquée par l'adoption du mariage homosexuel, la Conférence de Paris sur le climat, des interventions militaires (au Mali, en Centrafrique et au Moyen-Orient), une crise migratoire en Europe et l'institution d'un état d'urgence à la suite de plusieurs attentats islamistes en France.

Devenu très impopulaire et confronté à de très faibles intentions de vote et à un risque d'échec à une nouvelle primaire à gauche, il renonce à se porter candidat à un second mandat, ce qui constitue une première sous la Cinquième République. Il se tient en retrait lors de l'élection présidentielle de 2017, n'apportant pas son soutien au candidat du Parti socialiste, Benoît Hamon. Son ancien ministre de l'Économie, Emmanuel Macron, lui succède finalement à l'Élysée.

Après sa présidence, François Hollande ne siège pas au Conseil constitutionnel, dont il est membre de droit et à vie. Il reste présent dans le débat public et préside la fondation La France s'engage. Il retrouve un mandat politique en 2024 en étant élu député dans la première circonscription de la Corrèze, douze ans après avoir quitté l'Assemblée nationale pour la présidence de la République."	2005-07-29	Peco	neutral	neutral	neutral	non-neutral	neutral	neutral	4	1	Null	Null	Null
non-neutral	Maire de Vaulx-en-Velin, Vice-présidente de la Métropole de Lyon et ancienne ministre, elle se caractérise par son engagement pour les quartiers populaires, pour la politique de la ville, ainsi que par la volonté de revivifier la démocratie locale en impliquant les habitants dans les prises de décisions. Féministe, elle défend la libération des femmes contre l’autocensure volontaire ou involontaire afin d’améliorer le quotidien de ces dernières avec des solutions viables.	Maire de Vaulx-en-Velin, Vice-présidente de la Métropole de Lyon et ancienne ministre, elle se caractérise par son engagement pour les quartiers populaires, pour la politique de la ville, ainsi que par la volonté de revivifier la démocratie locale en impliquant les habitants dans les prises de décisions. Féministe, elle défend la libération des femmes contre l’autocensure volontaire ou involontaire afin d’améliorer le quotidien de ces dernières avec des solutions viables.	Hélène Geoffroy	"Hélène Geoffroy, née le 4 mars 1970 à Creil, est une militante socialiste, femme politique et physicienne française.

Ancienne ministre, elle est maire de Vaulx-en-Velin et vice-présidente de la métropole de Lyon."	2022-08-15	Polymagou	non-neutral	non-neutral	non-neutral	non-neutral	non-neutral	non-neutral	0	5	1	1	1
non-neutral	"Dominique Bailly, qui emploie sa fille comme collaboratrice parlementaire, a critiqué le caractère démagogique de l'interdiction des emplois familiaux pour les parlementaires. Il a cependant voté en août 2017 la loi rétablissant la confiance dans l'action publique visant à ""moraliser la vie publique"" afin de ""renforcer le lien qui existe entre les citoyens et leurs représentants"", et qui interdit notamment les emplois familiaux."	"Dominique Bailly, qui emploie sa fille comme collaboratrice parlementaire, a critiqué le caractère démagogique de l'interdiction des emplois familiaux pour les parlementaires. Il a cependant voté en août 2017 la loi rétablissant la confiance dans l'action publique visant à ""moraliser la vie publique"" afin de ""renforcer le lien qui existe entre les citoyens et leurs représentants"", et qui interdit notamment les emplois familiaux."	Dominique Bailly	"Dominique Bailly, né le 2 janvier 1960 à Lens (Pas-de-Calais), est un homme politique et lobbyiste français.

Membre du Parti socialiste, il est maire d'Orchies de 2005 à 2018, sénateur de 2011 à 2017 et questeur du Sénat de 2014 à 2017."	2017-09-12	Vikin	non-neutral	neutral	non-neutral	non-neutral	neutral	non-neutral	2	3	0	1	1
non-neutral	François Asselineau considère par ailleurs la construction européenne comme une « idée racialiste » et l'Union européenne comme « un apartheid planétaire du monde blanc », faisant remarquer que la France n'a aucun lien historique avec par exemple la Lettonie, alors qu'elle en a avec le Maghreb ou le Sénégal.	D'après François Asselineau, l'UE et l'OTAN, « vues depuis Washington, […] sont la face politique et la face militaire d’une même médaille, celle de l’asservissement du continent européen à leur « glacis » afin d’encercler et de contenir la puissance continentale russe ». François Asselineau affirme que « la construction européenne n’est pas, comme on veut nous le faire croire depuis 60 ans, une invention française. C’est une stratégie qui a été inventée par les Américains. » D'après lui, la construction européenne est, dès son origine, un instrument de l'hégémonie américaine. Cette domination, cachée selon lui, reposerait sur le caractère ingérable d'une union de plusieurs États, que François Asselineau compare à une copropriété dont le syndic serait les Etats-Unis. Les Américains auraient donc mis au point et initié un système autobloquant, un stratagème qui était destiné à contrer l'influence soviétique en Europe de l'Ouest après la Seconde guerre mondiale. François Asselineau considère par ailleurs la construction européenne comme une « idée racialiste » et l'Union européenne comme « un apartheid planétaire du monde blanc », faisant remarquer que la France n'a aucun lien historique avec par exemple la Lettonie, alors qu'elle en a avec le Maghreb ou le Sénégal.	François Asselineau	"François Asselineau, né le 14 septembre 1957 à Paris, est un haut fonctionnaire et homme politique français.

Énarque, il entre à l'Inspection des finances en 1985 puis mène une carrière de haut fonctionnaire qui le conduit à exercer dans différents cabinets ministériels sous les gouvernements de droite des années 1990 et, entre 2004 et 2006, le poste de délégué général à l'intelligence économique au ministère de l'Économie et des Finances. En parallèle, il est cadre du Rassemblement pour la France et l'indépendance de l'Europe (RPF) puis du Rassemblement pour l'indépendance et la souveraineté de la France (RIF) et siège au Conseil de Paris de 2001 à 2008, élu sur la liste de Jean Tiberi.

En 2007, il fonde l'Union populaire républicaine (UPR), qui milite pour la sortie de l'Union européenne, de la zone euro et de l'Organisation du traité de l'Atlantique nord (OTAN). Ce parti est décrit par de très nombreux observateurs comme souverainiste, antiaméricain et conspirationniste. La nuance politique attribuée par le ministère de l'Intérieur aux listes et candidats de l'UPR aux élections depuis 2014 est « divers », tandis que le parti se présente comme étant en dehors du clivage droite-gauche. François Asselineau est quant à lui couramment situé à droite, voire à l'extrême droite. Parfois rattaché au gaullisme, il assume cette étiquette et se présente également comme un opposant au Rassemblement national.

Cherchant à se faire connaître sur Internet par le cybermilitantisme, François Asselineau et ses militants mènent également une insistante démarche de lobbying auprès des grands médias et de Wikipédia — accusés par François Asselineau de le censurer — au point que cette action a pu être décrite comme un « harcèlement ».

Après avoir échoué à se présenter à l'élection présidentielle de 2012, il est candidat à celle de 2017 et recueille 0,92 % des voix. Il échoue à nouveau à se présenter à l'élection présidentielle de 2022, faute de parrainages suffisants."	2016-11-24	Erik Bovin	neutral	non-neutral	neutral	neutral	non-neutral	neutral	3	2	0	1	0
non-neutral	Laurent Gerra est le meilleur imitateur de Jack Lang	Laurent Gerra est le meilleur imitateur de Jack Lang	Jack Lang	"Jack Lang, né le 2 septembre 1939 à Mirecourt (Vosges), est un homme politique français.

Membre du Parti socialiste, il est notamment conseiller de Paris dans les années 1980, maire de Blois de 1989 à 2000 et député (du Loir-et-Cher puis du Pas-de-Calais) entre 1986 et 2012. Il est battu lors des élections législatives de 2012 dans les Vosges.

Sous les présidences de François Mitterrand puis de Jacques Chirac, il est plusieurs fois ministre dans des gouvernements de gauche, détenant plusieurs fois les portefeuilles de la Culture et de l’Éducation nationale, ainsi que le porte-parole du gouvernement. Il participe notamment au lancement de la Fête de la musique.

En 2013, il est nommé président de l'Institut du monde arabe."	2007-08-12	Toutoune25	non-neutral	non-neutral	non-neutral	non-neutral	non-neutral	non-neutral	0	5	0	1	0
neutral	En novembre 2016, une enquête internationale portant sur les mathématiques et les sciences montre « une chute vertigineuse des résultats des élèves de terminale S et des scores mauvais en CM1 ». Selon le président du groupe LR au Sénat, Bruno Retailleau, « les choix récents de Najat Vallaud-Belkacem […] ne vont faire qu'aggraver la situation ». Au contraire, pour la ministre de l'Éducation nationale, cette baisse de niveau serait « le résultat des choix politiques de la droite » et en particulier du gouvernement de François Fillon. ///Présentée par Najat Vallaud-Belkacem comme une réforme ayant pour but de lutter contre la radicalisation, les écoles hors contrat sont soumises à la rentrée 2017 à un régime d'autorisation et de contrôle a priori en lieu et place du régime de déclaration.	En novembre 2016, une enquête internationale portant sur les mathématiques et les sciences montre « une chute vertigineuse des résultats des élèves de terminale S et des scores mauvais en CM1 ». Selon le président du groupe LR au Sénat, Bruno Retailleau, « les choix récents de Najat Vallaud-Belkacem […] ne vont faire qu'aggraver la situation ». Au contraire, pour la ministre de l'Éducation nationale, cette baisse de niveau serait « le résultat des choix politiques de la droite » et en particulier du gouvernement de François Fillon. ///Présentée par Najat Vallaud-Belkacem comme une réforme ayant pour but de lutter contre la radicalisation, les écoles hors contrat sont soumises à la rentrée 2017 à un régime d'autorisation et de contrôle a priori en lieu et place du régime de déclaration.	Najat Vallaud-Belkacem	"Najat Vallaud-Belkacem, née Belkacem le 4 octobre 1977 à Beni Chiker (Maroc), est une femme politique française.

Militante au PS, elle exerce des mandats locaux au Conseil régional de Rhône-Alpes de 2004 à 2008 puis au Conseil régional d'Auvergne-Rhône-Alpes à partir de 2021, mais aussi comme conseillère générale du canton de Montchat de 2008 à 2014, ainsi qu’adjointe au maire de Lyon de 2008 à 2013. Elle s'implique en particulier sur les questions de culture, d'éducation, d'égalité femmes-hommes et de lutte contre les discriminations. Ségolène Royal l'a choisie comme porte-parole pour l'élection présidentielle française de 2007 et lors de la primaire citoyenne de 2011, de même que François Hollande lors de l'élection présidentielle de 2012.

De 2012 à 2014, elle est ministre des Droits des femmes, porte-parole du gouvernement et par ailleurs la benjamine du premier et du deuxième gouvernements dirigés par Jean-Marc Ayrault. En avril 2014, dans le premier gouvernement Valls, elle est à nouveau ministre des Droits des femmes, mais y est également nommée ministre de la Ville, de la Jeunesse et des Sports. Au sein du deuxième gouvernement Valls, elle devient en août 2014 ministre de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche, devenant la première femme ministre de l'Éducation nationale, poste qu'elle continue d'occuper jusqu'en 2017 au sein du gouvernement Cazeneuve.

En 2018, elle rejoint le secteur privé en devenant cadre du groupe Ipsos, avant de se diriger vers le secteur associatif. En 2020, elle prend la direction (France) de l'ONG ONE, puis elle devient présidente de France terre d'asile en 2022. En 2025, elle est nommée conseillère maître à la Cour des comptes."	2016-12-01	Thontep	neutral	neutral	neutral	non-neutral	neutral	neutral	4	1	Null	Null	Null
non-neutral	Bernard Depierre est aussi un homme d’entreprise : il a exercé les fonctions de DRH au sein de grands groupes pharmaceutiques. Voilà pourquoi, dans sa fonction de législateur, il s'implique tout particulièrement sur les sujets ayant trait à l'emploi, au monde de l'entreprise et à la santé.	Bernard Depierre est aussi un homme d’entreprise : il a exercé les fonctions de DRH au sein de grands groupes pharmaceutiques. Voilà pourquoi, dans sa fonction de législateur, il s'implique tout particulièrement sur les sujets ayant trait à l'emploi, au monde de l'entreprise et à la santé.	Bernard Depierre	Bernard Depierre, né le 6 juin 1945 à Bourbon-Lancy (Saône-et-Loire), est un homme politique français.	2011-02-17	Mondorcet	non-neutral	non-neutral	non-neutral	non-neutral	neutral	non-neutral	1	4	1	0	1
